Station;Date Releve;Heure;Num Releve;Conductivite;Salinite;Comm Salinite;Temperature;Ph;Redox;Oxygene;Saturation;Niveau Ngf;Comm Ngf;Niveau Relatif;Niveau 0;Turbidite;Couleur;Macrophyte;Remarques
Etangs du Grand Bagnas - canal du midi martelliere;12/01/2001;;1;;;;10.4;;;;;1.93;;0.03;;;;;
Etangs du Grand Bagnas - EID;12/01/2001;;1;;;;12.6;;;;;;;0.18;;;;;
Etangs du Grand Bagnas - EID Piezo;12/01/2001;;1;;;;11.4;;;;;0.36;;0.83;;;;;
Etangs du Grand Bagnas - MareB5roseau;12/01/2001;;1;2;0.78;;10.7;;;;;0.43;;0.6;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;12/01/2001;;1;30.5;;;11.3;;;0;0;-0.41;;1.21;;;;;
Etangs du Grand Bagnas - Petit Pont;12/01/2001;;1;9.8;;;10.5;;;0;0;0.41;;1.65;;;;;
Etangs du Grand Bagnas - Scirpaie GB8;12/01/2001;;1;5.5;2.93;;11.1;;;;;;;0.48;;;;;
Etangs du Grand Bagnas - Scirpaie GB8 piezo;12/01/2001;;1;47.1;;;10.7;;;;;0.1;;0.62;;;;;
Etangs du Grand Bagnas - PB3;28/12/2000;;1;57.5;;;7.2;;;;;-0.08;;0.28;;;;;
Etangs du Grand Bagnas - canal du midi martelliere;28/12/2000;;2;0.1;0;;10.7;;;;;1.89;;0.005;;;;;
Etangs du Grand Bagnas - EID;28/12/2000;;2;12.7;7.37;;12.4;;;;;;;0.06;;;;;
Etangs du Grand Bagnas - EID Piezo;28/12/2000;;1;3;;;11.5;;;;;0.43;;0.76;;;;;
Etangs du Grand Bagnas - echelleGB2;28/12/2000;;2;10.7;6.14;;8.6;;;;;;;0.53;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;28/12/2000;;1;31.6;;;12;;;;;-0.3;;1.1;;;;;
Etangs du Grand Bagnas - Pairollet;28/12/2000;;1;51.1;;;11.9;;;;;0.07;;0.37;;;;;
Etangs du Grand Bagnas - PB3 Piezo;28/12/2000;;1;78.4;;;10.4;;;;;-0.4;;0.94;;;;;
Etangs du Grand Bagnas - Petit Pont;28/12/2000;;1;32.3;;;10.2;;;;;0.28;;1.78;;;;;
Etangs du Grand Bagnas - Rieu nord;28/12/2000;;1;46.5;;;7.6;;;;;0.43;;0.39;;;;;
Etangs du Grand Bagnas - Scirpaie GB8;28/12/2000;;2;7.5;4.17;;7.6;;;;;;;0.37;;;;;
Etangs du Grand Bagnas - Scirpaie GB8 piezo;28/12/2000;;1;48.5;;;10;;;;;0.07;;0.65;;;;;
Etangs du Grand Bagnas - PB3;14/12/2000;;1;62.6;;;8.9;;;;;-0.2;;0.16;;;;;
Etangs du Grand Bagnas - canal du midi martelliere;14/12/2000;;1;;;;11.1;;;;;1.86;;-0.04;;;;;
Etangs du Grand Bagnas - EID;14/12/2000;;1;;;;;;;;;;à sec;0;;;;;
Etangs du Grand Bagnas - EID Piezo;14/12/2000;;1;28.5;;;11.9;;;;;0.16;;1.03;;;;;
Etangs du Grand Bagnas - echelleGB2;14/12/2000;;1;10.9;6.26;;10.9;;;;;;;0.42;;;;;
Etangs du Grand Bagnas - MareB5roseau;14/12/2000;;1;1.2;0.28;;11.4;;;;;0.23;;0.4;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;14/12/2000;;1;25.7;;;13;;;;;-0.5;Piezo ouvert;1.3;;;;;
Etangs du Grand Bagnas - Pairollet;14/12/2000;;1;38.8;;;11.6;;;;;-0.06;claire;0.24;;;;;
Etangs du Grand Bagnas - PB3 Piezo;14/12/2000;;1;110;;OFL;12.6;;;;;-0.34;;0.88;;;;;
Etangs du Grand Bagnas - Petit Pont;14/12/2000;;1;107.4;;;11.3;;;;;0.18;;1.88;;;;;
Etangs du Grand Bagnas - Rieu nord;14/12/2000;;1;59.3;;;10.4;;;;;0.21;;0.17;;;;;
Etangs du Grand Bagnas - Scirpaie GB8;14/12/2000;;1;9.2;5.21;;11.3;;;;;;;0.16;;;;;
Etangs du Grand Bagnas - Scirpaie GB8 piezo;14/12/2000;;1;47;;;12.3;;;;;-0.05;;0.77;;;;;
Etangs du Grand Bagnas - canal du midi martelliere;29/11/2000;;3;47;28.52;;13.5;;;;;;;;0;;;;canal en vidange
Etangs du Grand Bagnas - PB3;29/11/2000;;1;63.2;;;14.9;;;;;-0.21;;0.15;;;;;
Etangs du Grand Bagnas - EID;29/11/2000;;3;;;;;;;;;;à sec;0;;;;;
Etangs du Grand Bagnas - EID Piezo;29/11/2000;;1;29;;;12.9;;;;;0.1;;1.09;;;;;
Etangs du Grand Bagnas - echelleGB2;29/11/2000;;3;10.3;5.89;;14.1;;;;;;;0.32;;;;;
Etangs du Grand Bagnas - MareB5roseau;29/11/2000;;3;7.7;4.29;;13.6;;;;;0.16;;0.33;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;29/11/2000;;1;31.9;;;13.4;;;;;-0.52;;1.32;;;;;
Etangs du Grand Bagnas - Pairollet;29/11/2000;;1;31.9;;;14.9;;;;;-0.05;;0.25;;;;;
Etangs du Grand Bagnas - PB3 Piezo;29/11/2000;;1;107.2;;OFL;13.5;;;;;-0.33;;0.87;;;;;
Etangs du Grand Bagnas - Petit Pont;29/11/2000;;1;44.1;;;13.8;;;;;0.35;;1.71;;;;;
Etangs du Grand Bagnas - Rieu nord;29/11/2000;;1;59.9;;;14.3;;;;;0.22;;0.18;;;;;
Etangs du Grand Bagnas - Scirpaie GB8;29/11/2000;;3;8.1;4.54;;14.3;;;;;;;0.21;;;;;
Etangs du Grand Bagnas - Scirpaie GB8 piezo;29/11/2000;;1;46.1;;;13.2;;;;;-0.06;;0.78;;;;;
Etangs du Grand Bagnas - canal du midi martelliere;16/11/2000;;2;6.8;3.73;;9.1;;;;;;;;0;;;;canal à sec
Etangs du Grand Bagnas - Rieu nord;16/11/2000;;1;61.2;;;8.6;;;;;0.25;;0.21;;;;;Entrant léger
Etangs du Grand Bagnas - PB3;16/11/2000;;1;62.9;;;7.7;7.75;;;;-0.2;;0.16;;;;;
Etangs du Grand Bagnas - EID;16/11/2000;;2;;;;;;;;;;à sec;0;;;;;
Etangs du Grand Bagnas - EID Piezo;16/11/2000;;1;28.6;;;13;;;;;0.1;;1.09;;;;;
Etangs du Grand Bagnas - echelleGB2;16/11/2000;;2;10.3;5.89;;11.4;7.9;;;;;;0.36;;;;;
Etangs du Grand Bagnas - MareB5roseau;16/11/2000;;2;5.6;2.99;;10.8;8.2;;;;0.18;;0.35;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;16/11/2000;;1;23.9;;;13.4;;;;;-0.56;;1.36;;;;;
Etangs du Grand Bagnas - Pairollet;16/11/2000;;1;27.6;;;12.6;;;;;-0.1;;0.2;;;;;
Etangs du Grand Bagnas - PB3 Piezo;16/11/2000;;1;116.6;;OFL;13.2;;;;;-0.36;;0.9;;;;;
Etangs du Grand Bagnas - Petit Pont;16/11/2000;;1;51.9;;;13.8;;;;;0.31;;1.75;;;;;
Etangs du Grand Bagnas - Scirpaie GB8;16/11/2000;;2;5.6;2.99;;11;;;;;;;0.22;;;;;
Etangs du Grand Bagnas - Scirpaie GB8 piezo;16/11/2000;;1;47.4;;;12.8;8.3;;;;-0.1;;0.82;;;;;
Etangs du Grand Bagnas - PB3;02/11/2000;;1;52.7;;;12;;;;;-0.23;;0.13;;;;;
Etangs du Grand Bagnas - canal du midi martelliere;02/11/2000;;1;0.3;0;;14.3;;;;;2.04;;0.14;;;;;
Etangs du Grand Bagnas - EID;02/11/2000;;1;;;;;;;;;;à sec;0;;;;;
Etangs du Grand Bagnas - EID Piezo;02/11/2000;;1;27.1;;;15.4;;;;;0.1;;1.09;;;;;
Etangs du Grand Bagnas - echelleGB2;02/11/2000;;1;10.5;6.02;;13.9;;;;;;;0.31;;;;;
Etangs du Grand Bagnas - MareB5roseau;02/11/2000;;1;0.5;0;;14.6;;;;;0.18;;0.35;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;02/11/2000;;1;28;;;15.7;;;;;-0.6;;1.4;;;;;
Etangs du Grand Bagnas - Pairollet;02/11/2000;;1;23.4;;;14.9;;;;;-0.11;;0.19;;;;;
Etangs du Grand Bagnas - PB3 Piezo;02/11/2000;;1;107.6;;OFL;16.1;;;;;-0.4;;0.94;;;;;
Etangs du Grand Bagnas - Petit Pont;02/11/2000;;1;36.5;;;15.7;;;;;0.26;;1.8;;;;;
Etangs du Grand Bagnas - Rieu nord;02/11/2000;;1;58.3;;;12.2;;;;;0.19;;0.15;;;;;
Etangs du Grand Bagnas - Scirpaie GB8;02/11/2000;;1;5.6;2.99;;14.2;;;;;;;0.2;;;;;
Etangs du Grand Bagnas - Scirpaie GB8 piezo;02/11/2000;;1;46.8;;;15.8;;;;;-0.28;;1;;;;;
Etangs du Grand Bagnas - PB3;17/10/2000;;1;35.2;;;12;7.5;;;;-0.21;;0.15;;;;;
Etangs du Grand Bagnas - canal du midi martelliere;17/10/2000;;2;1;0.16;;14.8;;;;;1.98;;0.08;;;;;
Etangs du Grand Bagnas - EID;17/10/2000;;2;;;;;;;;;;à sec;0;;;;;
Etangs du Grand Bagnas - EID Piezo;17/10/2000;;1;28.2;;;16.3;;;;;0.11;;1.08;;;;;
Etangs du Grand Bagnas - echelleGB2;17/10/2000;;2;9.6;5.46;;18.6;8.66;;;;;;0.31;;;;;
Etangs du Grand Bagnas - MareB5roseau;17/10/2000;;2;0.6;0;;15.9;8.16;;;;0.16;;0.33;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;17/10/2000;;1;31.6;;;16.6;;;;;-0.5;;1.3;;;;;
Etangs du Grand Bagnas - Pairollet;17/10/2000;;1;11;;;21.9;;;;;-0.15;;0.15;;;;;
Etangs du Grand Bagnas - PB3 Piezo;17/10/2000;;1;119.3;;OFL;16.9;;;;;-0.3;;0.84;;;;;
Etangs du Grand Bagnas - Petit Pont;17/10/2000;;1;30.4;;;17.4;;;;;0.17;;1.89;;;;;
Etangs du Grand Bagnas - Rieu nord;17/10/2000;;1;50.7;;;12.4;;;;;0.21;;0.17;;;;;
Etangs du Grand Bagnas - Scirpaie GB8;17/10/2000;;2;2;0.78;;19.3;;;;;;;0.16;;;;;
Etangs du Grand Bagnas - Scirpaie GB8 piezo;17/10/2000;;1;47.4;;;17.2;;;;;-0.14;;0.86;;;;;
Etangs du Grand Bagnas - TB5 centre;17/10/2000;;1;10.5;6.02;;17.4;9.3;;;;0.15;;0.42;;;;;
Etangs du Grand Bagnas - Rieu nord;06/10/2000;;1;90.3;;;11.6;;;;;0.12;;0.08;;;;;EtalClaire
Etangs du Grand Bagnas - PB3;06/10/2000;;1;;;;;;;;;-0.36;;0;;;;;
Etangs du Grand Bagnas - canal du midi martelliere;06/10/2000;;1;0.1;0;;16;;;;;1.95;;0.05;;;;;
Etangs du Grand Bagnas - EID;06/10/2000;;1;;;;;;;;;;à sec;0;;;;;
Etangs du Grand Bagnas - echelleGB2;06/10/2000;;1;18;10.64;;15.6;;;;;;;0.17;;;;;
Etangs du Grand Bagnas - MareB5roseau;06/10/2000;;1;0.1;0;;16.3;;;;;0.09;;0.26;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;06/10/2000;;1;31.1;;;17.6;;;;;-0.51;;1.31;;;;;
Etangs du Grand Bagnas - PB3 Piezo;06/10/2000;;1;115.6;;OFL;19.1;;;;;-0.82;Moto plusieurs passages;1.36;;;;;
Etangs du Grand Bagnas - Petit Pont;06/10/2000;;1;16.3;;;16.8;;;;;0.02;;2.04;;;;;
Etangs du Grand Bagnas - Scirpaie GB8;06/10/2000;;1;47.6;28.89;;16.1;;;;;;;;;;;;
Etangs du Grand Bagnas - Scirpaie GB8 piezo;06/10/2000;;1;48.5;;;16.6;;;;;-0.28;;1;;;;;
Etangs du Grand Bagnas - PB3;20/09/2000;;1;;;;;;;;;-0.36;;0;;;;;
Etangs du Grand Bagnas - canal du midi martelliere;20/09/2000;;2;0.7;0;;20.9;;;;;2.03;;0.13;;;;;
Etangs du Grand Bagnas - EID;20/09/2000;;2;;;;;;;;;;à sec;0;;;;;
Etangs du Grand Bagnas - EID Piezo;20/09/2000;;1;;;;;;;;;-0.31;;1.5;0;;;;
Etangs du Grand Bagnas - echelleGB2;20/09/2000;;2;18.2;10.76;;18.4;8.5;;;;;;0.07;;;;;
Etangs du Grand Bagnas - MareB5roseau;20/09/2000;;2;1.3;0.34;;18.6;7.8;;;;0.04;;0.21;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;20/09/2000;;1;30.5;;;19.3;;;;;-0.5;;1.3;;;;;
Etangs du Grand Bagnas - Pairollet;20/09/2000;;1;;;;0;;;;;-0.3;;0;;;;;
Etangs du Grand Bagnas - Petit Pont;20/09/2000;;1;28.5;;;22.8;;;;;0.31;;1.75;;;;;
Etangs du Grand Bagnas - Rieu nord;20/09/2000;;1;87.2;;;17.6;;;;;0.27;;0.23;;;;;
Etangs du Grand Bagnas - Scirpaie GB8;20/09/2000;;2;;;;0;;;;;;à sec;;;;;;
Etangs du Grand Bagnas - Scirpaie GB8 piezo;20/09/2000;;1;30.8;;;18;;;;;-0.75;;1.47;;;;;
Etangs du Grand Bagnas - TB5 centre;20/09/2000;;1;19.1;11.32;;17.4;6.9;;;;-0.06;;0.21;;;;;
Etangs du Grand Bagnas - PB3;13/09/2000;;1;;;;;;;;;-0.36;;0;;;;;
Etangs du Grand Bagnas - canal du midi martelliere;13/09/2000;;1;0.5;0;;21.3;;;;;2.05;;0.15;;;;;
Etangs du Grand Bagnas - EID;13/09/2000;;1;;;;;;;;;;à sec;0;;;;;
Etangs du Grand Bagnas - EID Piezo;13/09/2000;;1;;;;;;;;;-0.31;;1.5;0;;;;
Etangs du Grand Bagnas - echelleGB2;13/09/2000;;1;17.9;10.58;;21.1;;;;;;;0.07;;;;;
Etangs du Grand Bagnas - MareB5roseau;13/09/2000;;1;2.8;1.27;;27.5;;;;;-0.11;;0.06;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;13/09/2000;;1;29.7;;;19.6;;;;;-0.51;;1.31;;;;;
Etangs du Grand Bagnas - Pairollet;13/09/2000;;1;;;;0;;;;;-0.3;;0;;;;;
Etangs du Grand Bagnas - PB3 Piezo;13/09/2000;;1;;;;;;;;;-0.96;;1.5;0;;;;
Etangs du Grand Bagnas - Petit Pont;13/09/2000;;1;19.2;;;23.3;;;;;0.08;;1.98;;;;;
Etangs du Grand Bagnas - Rieu nord;13/09/2000;;1;0;;;0;;;;;0.04;;0;;;;;
Etangs du Grand Bagnas - Scirpaie GB8;13/09/2000;;1;;;;0;;;;;;à sec;;;;;;
Etangs du Grand Bagnas - Scirpaie GB8 piezo;13/09/2000;;1;26.9;;;21.5;;;;;-0.69;;1.41;;;;;
Etangs du Grand Bagnas - PB3;26/08/2000;;1;;;;;;;;;-0.36;;0;;;;;
Etangs du Grand Bagnas - canal du midi martelliere;26/08/2000;;2;0.3;0;;24.8;7.1;;;;2.05;;0.15;;;;;
Etangs du Grand Bagnas - EID;26/08/2000;;2;;;;;;;;;;à sec;0;;;;;
Etangs du Grand Bagnas - EID Piezo;26/08/2000;;1;;;;;;;;;-0.3;;;0;;;;
Etangs du Grand Bagnas - echelleGB2;26/08/2000;;2;11.4;6.57;;27.1;8.3;;;;;;0.16;;;;;
Etangs du Grand Bagnas - MareB5roseau;26/08/2000;;2;0.7;0;;26.1;8.9;;;;-0.02;;0.15;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;26/08/2000;;1;27.3;;;22.8;;;;;-0.56;;1.36;;;;;
Etangs du Grand Bagnas - Pairollet;26/08/2000;;1;;;;0;;;;;-0.3;;0;;;;;
Etangs du Grand Bagnas - Petit Pont;26/08/2000;;1;13.7;;;26.4;7;;;;0.19;;1.87;;;;;
Etangs du Grand Bagnas - Rieu nord;26/08/2000;;1;86.8;;;24.8;;;;;0.18;;0.14;;;;;
Etangs du Grand Bagnas - Scirpaie GB8;26/08/2000;;2;;;;0;;;;;;à sec;;;;;;
Etangs du Grand Bagnas - Scirpaie GB8 piezo;26/08/2000;;1;28.6;;;23.3;;;;;-0.46;;1.18;;;;;
Etangs du Grand Bagnas - PB3;10/08/2000;;1;;;;;;;;;-0.36;;0;;;;;
Etangs du Grand Bagnas - canal du midi martelliere;10/08/2000;;1;0.3;0;;23.2;8.5;;;;1.99;;0.09;;;;;
Etangs du Grand Bagnas - EID;10/08/2000;;1;;;;;;;;;;à sec;0;;;;;
Etangs du Grand Bagnas - EID Piezo;10/08/2000;;1;8.6;;;23.1;;;;;-0.29;;1.48;;;;;
Etangs du Grand Bagnas - echelleGB2;10/08/2000;;1;11.3;6.51;;27.8;8.2;;;;;;0.21;;;;;
Etangs du Grand Bagnas - MareB5roseau;10/08/2000;;1;1.6;0.53;;26;;;;;0.03;;0.2;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;10/08/2000;;1;30.4;;;20.7;;;;;-0.59;;1.39;;;;;
Etangs du Grand Bagnas - Pairollet;10/08/2000;;1;;;;0;;;;;-0.3;;0;;;;;
Etangs du Grand Bagnas - Petit Pont;10/08/2000;;1;5.2;;;21.3;4.2;;;;0.07;;1.99;;;;;
Etangs du Grand Bagnas - Rieu nord;10/08/2000;;1;0;;;0;;;;;0.04;sec;0;;;;;
Etangs du Grand Bagnas - Scirpaie GB8;10/08/2000;;1;3.4;1.64;;24;;;;;;;0.6;;;;;
Etangs du Grand Bagnas - Scirpaie GB8 piezo;10/08/2000;;1;32.5;;;21.7;;;;;-0.19;;0.91;;;;;
Etangs du Grand Bagnas - PB3;27/07/2000;;1;;;;;;;;;-0.36;sec;0;;;;;
Etangs du Grand Bagnas - canal du midi martelliere;27/07/2000;;2;0.2;0;;24.1;;;;;1.99;;0.09;;;;;
Etangs du Grand Bagnas - EID;27/07/2000;;2;;;;;;;;;;à sec;0;;;;;
Etangs du Grand Bagnas - EID Piezo;27/07/2000;;1;26.3;;;2;;;;;-0.15;;1.34;;;;;
Etangs du Grand Bagnas - echelleGB2;27/07/2000;;2;7.3;4.04;;30;;;;;;;0.28;;;;;
Etangs du Grand Bagnas - MareB5roseau;27/07/2000;;2;2.2;0.9;;29;;;;;0.11;;0.28;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;27/07/2000;;1;23.3;;;20.8;;;;;-0.61;;1.41;;;;;
Etangs du Grand Bagnas - Pairollet;27/07/2000;;1;;;;0;;;;;-0.3;sec;0;;;;;
Etangs du Grand Bagnas - Petit Pont;27/07/2000;;1;8.1;;;25.5;;;;;0.14;;1.92;;;;;
Etangs du Grand Bagnas - Rieu nord;27/07/2000;;1;87;;;32.8;;;;;0.17;;0.13;;;;;
Etangs du Grand Bagnas - Scirpaie GB8;27/07/2000;;2;25.6;15.33;;30.4;;;;;;;0.15;;;;;
Etangs du Grand Bagnas - Scirpaie GB8 piezo;27/07/2000;;1;36.5;;;21.3;;;;;-0.11;premiere mesure en eau du piezo;0.83;;;;;
Etangs du Grand Bagnas - PB3;13/07/2000;;1;;;;;;;;;-0.36;sec;0;;;;;
Etangs du Grand Bagnas - canal du midi martelliere;13/07/2000;;1;0.3;0;;21.6;;;;;2.04;;0.14;;;;;
Etangs du Grand Bagnas - EID;13/07/2000;;1;;;;;;;;;;à sec;0;;;;;
Etangs du Grand Bagnas - EID Piezo;13/07/2000;;1;13;;;18.9;;;;;0.04;piezo vidé;1.15;;;;;
Etangs du Grand Bagnas - echelleGB2;13/07/2000;;1;9.5;5.4;;22.4;;;;;;;0.37;;;;;
Etangs du Grand Bagnas - MareB5roseau;13/07/2000;;1;1.2;0.28;;24.1;;;;;0.2;;0.37;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;13/07/2000;;1;29.7;;;20;;;;;-0.15;non vidé complétement;0.95;;;;;
Etangs du Grand Bagnas - Pairollet;13/07/2000;;1;;;;0;;;;;-0.3;sec;0;;;;;
Etangs du Grand Bagnas - Petit Pont;13/07/2000;;1;12.2;;;23;;;;;-0.03;;2.09;;;;;
Etangs du Grand Bagnas - Rieu nord;13/07/2000;;1;137;;;29.5;;;;;0.04;;;;;;;
Etangs du Grand Bagnas - Scirpaie GB8;13/07/2000;;1;15.9;9.35;;26.3;;;;;;;0.23;;;;;
Etangs du Grand Bagnas - PB3;30/06/2000;;1;;;;;;;;;-0.36;sec;0;;;;;
Etangs du Grand Bagnas - canal du midi martelliere;30/06/2000;;3;0.5;0;;23.8;;;;;2.16;;0.26;;;;;
Etangs du Grand Bagnas - EID;30/06/2000;;3;;;;;;;;;;à sec;0;;;;;
Etangs du Grand Bagnas - EID Piezo;30/06/2000;;1;14.6;;;18.7;;;;;0.19;;1;;;;;
Etangs du Grand Bagnas - echelleGB2;30/06/2000;;3;8.4;4.72;;24.4;;;;;;;0.39;;;;;
Etangs du Grand Bagnas - MareB5roseau;30/06/2000;;2;0.3;0;;23;;;;;0.23;;0.4;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;30/06/2000;;1;28.9;;;29;;;;;-0.12;;0.92;;;;;
Etangs du Grand Bagnas - Petit Pont;30/06/2000;;1;10.5;;;24.5;;;;;0.12;;1.94;;;;;
Etangs du Grand Bagnas - Rieu nord;30/06/2000;;1;0;;;0;;;;;0.04;sec;0;;;;;
Etangs du Grand Bagnas - Scirpaie GB8;30/06/2000;;3;13.9;8.11;;26.7;;;;;;;0.25;;;;;
Etangs du Grand Bagnas - PB3;14/06/2000;;1;;;;;;;;;-0.31;;0.05;;;;;
Etangs du Grand Bagnas - canal du midi martelliere;14/06/2000;;2;0.5;0;;20.1;;;;;2.05;;0.15;;;;;
Etangs du Grand Bagnas - EID;14/06/2000;;2;6.8;3.73;;18.3;;;;;;;0.06;;;;;
Etangs du Grand Bagnas - EID Piezo;14/06/2000;;1;19.9;;;16.7;;;;;0.23;;0.96;;;;;
Etangs du Grand Bagnas - echelleGB2;14/06/2000;;2;8.5;4.78;;21;;;;;;;0.47;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;14/06/2000;;1;36;;;18.7;;;;;-0.11;;0.91;;;;;
Etangs du Grand Bagnas - Pairollet;14/06/2000;;1;;;;;;;;;-0.09;;0.21;;;;;
Etangs du Grand Bagnas - Petit Pont;14/06/2000;;1;6.7;;;20.8;;;;;0.06;;2;;;;;
Etangs du Grand Bagnas - Rieu nord;14/06/2000;;1;;;;;;;;;0.08;;0.04;;;;;
Etangs du Grand Bagnas - Scirpaie GB8;14/06/2000;;2;5.4;2.87;;20.9;;;;;;;0.37;;;;;
Etangs du Grand Bagnas - PB3;01/06/2000;;1;118.4;;;24.1;;;;;-0.3;12h30;0.06;;;;;
Etangs du Grand Bagnas - canal du midi martelliere;01/06/2000;;1;0.6;0;;20.9;;;;;1.95;;0.05;;;;;
Etangs du Grand Bagnas - EID;01/06/2000;;1;10.9;6.26;;17.6;;;;;;;;;;;;
Etangs du Grand Bagnas - EID Piezo;01/06/2000;;1;16.8;;;16.5;;;;;0.22;;0.97;;;;;
Etangs du Grand Bagnas - echelleGB2;01/06/2000;;1;8.6;4.84;;21.6;;;;;;;0.41;;;;;
Etangs du Grand Bagnas - MareB5roseau;01/06/2000;;1;0.9;0.1;;21.4;;;;;0.23;;0.4;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;01/06/2000;;1;31.4;;;18.6;;;;;-0.16;;0.96;;;;;
Etangs du Grand Bagnas - Pairollet;01/06/2000;;1;31.3;;;22.8;;;;;-0.09;12h;0.21;;;;;
Etangs du Grand Bagnas - Petit Pont;01/06/2000;;1;5.4;;;21.1;;;;;0.02;;2.04;;;;trouble léger;
Etangs du Grand Bagnas - Rieu nord;01/06/2000;;1;79.4;;;17.7;;;;;0.09;;0.05;;;;;
Etangs du Grand Bagnas - Scirpaie GB8;01/06/2000;;1;10.9;6.26;;20.2;;;;;;;0.34;;;;;
Etangs du Grand Bagnas - PB3;24/05/2000;;1;95.7;;;28.2;;;;;-0.28;12h45;0.08;;;;;
Etangs du Grand Bagnas - canal du midi martelliere;24/05/2000;;2;0.5;0;;18.7;;;;;1.91;;0.01;;;;;
Etangs du Grand Bagnas - EID;24/05/2000;;2;8.6;4.84;;16.2;;;;;;;;;;;;
Etangs du Grand Bagnas - EID Piezo;24/05/2000;;1;2;;;16.4;;;;;0.24;;0.95;;;;;
Etangs du Grand Bagnas - echelleGB2;24/05/2000;;2;8.1;4.54;;22.7;;;;;;;0.4;;;;;
Etangs du Grand Bagnas - MareB5roseau;24/05/2000;;1;6.2;3.36;;22.2;;;;;0.26;;0.43;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;24/05/2000;;1;28.7;;;18;;;;;-0.19;;0.99;;;;;
Etangs du Grand Bagnas - Pairollet;24/05/2000;;1;29;;;24.7;;;;;-0.05;;0.25;;;;;
Etangs du Grand Bagnas - Petit Pont;24/05/2000;;1;9.3;;;20.2;;;;;0.11;;1.95;;;;;
Etangs du Grand Bagnas - Rieu nord;24/05/2000;;1;76.2;;;19.2;;;;;0.1;;0.06;;;;;
Etangs du Grand Bagnas - Scirpaie GB8;24/05/2000;;2;9.2;5.21;;26.4;;;;;;;0.27;;;;;
Etangs du Grand Bagnas - PB3;05/05/2000;;1;119.4;;;25.5;;;;;-0.32;;0.04;;;;;
Etangs du Grand Bagnas - canal du midi martelliere;05/05/2000;;1;0.8;0.04;;17.3;;;;;;;0;;;;;
Etangs du Grand Bagnas - EID;05/05/2000;;1;6.6;3.61;;17.2;;;;;;;0.03;;;;;
Etangs du Grand Bagnas - EID Piezo;05/05/2000;;1;16.6;;;14.8;;;;;0.27;;0.92;;;;;
Etangs du Grand Bagnas - echelleGB2;05/05/2000;;1;7.9;4.41;;20.2;;;;;;;0.46;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;05/05/2000;;1;31.4;;;16.4;;;;;-0.25;;1.05;;;;;
Etangs du Grand Bagnas - Pairollet;05/05/2000;;1;29.5;;;23.3;;;;;-0.02;;0.28;;;;;
Etangs du Grand Bagnas - Petit Pont;05/05/2000;;1;12.5;;;18.8;;;;;0.22;;1.84;;;;;
Etangs du Grand Bagnas - Rieu nord;05/05/2000;;1;64.6;;;24.8;;;;;0.22;;0.18;;;;;
Etangs du Grand Bagnas - Scirpaie GB8;05/05/2000;;1;10.1;5.77;;21.2;;;;;;;0.37;;;;;
Etangs du Grand Bagnas - PB3;20/04/2000;;1;75.6;;;12.5;;;;;-0.36;;0.1;;;;;
Etangs du Grand Bagnas - canal du midi martelliere;20/04/2000;;2;1.1;0.22;;15.3;;;;;1.83;;-0.07;;;;;
Etangs du Grand Bagnas - EID;20/04/2000;;2;4.9;2.56;;15.3;;;;;;;0.06;;;;;
Etangs du Grand Bagnas - EID Piezo;20/04/2000;;1;17.6;;;13.2;;;;;0.28;;0.91;;;;;
Etangs du Grand Bagnas - echelleGB2;20/04/2000;;2;7.4;4.1;;17;;;;;;;0.48;;;;;
Etangs du Grand Bagnas - MareB5roseau;20/04/2000;;2;7.5;4.17;;17.3;;;;;0.33;;0.5;;;;;
Etangs du Grand Bagnas - MareB5roseau piezo;20/04/2000;;1;31.3;;;14.7;;;;;-0.05;;0.85;;;;;
Etangs du Grand Bagnas - Pairollet;20/04/2000;;1;;;;;;;;;0;;0.3;;;;;
Etangs du Grand Bagnas - Petit Pont;20/04/2000;;1;16.4;;;16.8;;;;;0.14;;1.92;;;;;
Etangs du Grand Bagnas - Rieu nord;20/04/2000;;1;63.7;;;12.3;;;;;0.16;;0.12;;;;;
Etangs du Grand Bagnas - Scirpaie GB8;20/04/2000;;2;8.2;4.6;;17.3;;;;;;;0.43;;;;;
Etangs du Grand Bagnas - PB3;06/04/2000;;1;;;;;;;;;-0.36;sec;0;;;;;
